ano_inicio;n;perc;media_dias_ate_termo;mediana_dias_ate_termo;minimo_dias_ate_termo;maximo_dias_ate_termo;desvio_padrao_dias_ate_termo
2002;1;0,0217391304347826;6391,000000000000;6391;6391;6391;NA
2006;1;0,0217391304347826;198,000000000000;198;198;198;NA
2013;1;0,0217391304347826;266,000000000000;266;266;266;NA
2014;2;0,0434782608695652;185,000000000000;185;152;218;46,6690475583121
2016;3;0,0652173913043478;253,000000000000;291;147;321;93,0161276338679
2017;6;0,1304347826086956;217,666666666667;217;0;379;125,8724221847926
2018;6;0,1304347826086956;394,500000000000;321;91;732;255,4593901190559
2019;5;0,1086956521739130;202,800000000000;191;166;256;33,9072263684307
2020;7;0,1521739130434783;241,142857142857;224;-92;638;216,9442544152980
2021;11;0,2391304347826087;260,363636363636;273;166;376;70,0946113867146
2022;2;0,0434782608695652;202,000000000000;202;128;276;104,6518036156090
2023;1;0,0217391304347826;179,000000000000;179;179;179;NA
