ano_inicio;n;perc;media_dias_ate_inicio_desde_problema;mediana_dias_ate_inicio_desde_problema;minimo_dias_ate_inicio_desde_problema;maximo_dias_ate_inicio_desde_problema;desvio_padrao_dias_ate_inicio_desde_problema
2006;1;0,0238095238095238;14,000000000000;14;14;14;NA
2013;1;0,0238095238095238;425,000000000000;425;425;425;NA
2014;4;0,0952380952380952;565,750000000000;504;71;1184;465,903691764725
2016;2;0,0476190476190476;545,000000000000;545;72;1018;668,923015002474
2017;5;0,1190476190476190;637,200000000000;753;55;1352;543,470054372824
2018;6;0,1428571428571428;635,333333333333;756;42;837;299,855076106219
2019;4;0,0952380952380952;459,250000000000;192;15;1438;665,559100806733
2020;7;0,1666666666666667;805,571428571429;461;55;2439;852,311730362950
2021;10;0,2380952380952381;770,200000000000;543;147;2121;582,658619318951
2022;2;0,0476190476190476;368,000000000000;368;358;378;14,142135623731
