Escritório de Advocacia;Representação;Número de Arbitragens
Azevedo Sette;"Empresa Contratada Requerente; Consórcio; Consórcio Requerente";3
Gouveia, Silveira e Tannous;Empresa Contratada Requerente;2
Manesco, Ramirez, Perez, Azevedo Marques;"Empresa Contratada Requerente; Empresa Requerente";2
Pinheiro Neto;Empresa Requerente;2
Demarest;Empresa Requerente;1
José Anchieta da Silva;Empresa Requerente;1
Lilla, Huck, Otranto e Camargo;Empresa Requerente;1
MAMG;Empresas Requerentes;1
Mattos Filho, Veiga Filho, Marrey Jr. e Quiroga;Concessionária;1
Rodrigues Pachikoski e Staffa Neto;Empresa Requerente;1
Sérgio Bermudes;Empresa Requerente;1
Veirano;Consórcio;1
Vilela Silva Gomes Miranda;Empresas Requerentes;1
Wald, Aantunes, Vital e Blattner;Empresa Requerente;1
