Escritório de Advocacia;Número de Arbitragens
Manesco, Ramirez, Perez, Azevedo Marques;6
Mattos Filho, Veiga Filho, Marrey Jr. e Quiroga;4
Wald, Aantunes, Vital e Blattner;4
Azevedo Sette;3
Portugal Ribeiro;3
Sérgio Bermudes;3
Basilio;2
Dutra & Associados;2
Ferro, Castro Neves, Daltro & Gomide Associados;2
Gouveia, Silveira e Tannous;2
Pinheiro Neto;2
Tauil, Chequer & Mello;2
Aroeira Salles;1
Betiol;1
BMA;1
Brandão Couto, Wigderowitz & Pessoa;1
Demarest;1
Dourado & Cambraia;1
Faveret Lambert;1
Finkelstein;1
Gabino Kruschewsky Associados;1
Galdino & Coelho;1
José Anchieta da Silva;1
Juruena & Associados;1
L. O. Baptista;1
Lilla, Huck, Otranto e Camargo;1
MAMG;1
Pedro Paulo Magalhães Associados;1
Pereira Neto Macedo;1
Pinheiro Guimarães;1
Piquet Carneiro, Magaldi e Guedes;1
Queiroz Maluf;1
Rodrigues Pachikoski e Staffa Neto;1
Rolim, Viotti, Goulart, Cardoso;1
Silva Pinto, Termignoni e Associados;1
Strobel Guimarães;1
Telma Rocha Lisowsk - Advogada do Manesco indicada no curso do procedimento arbitral para representar a requerente;1
Trench, Rossi e Watanabe;1
Veirano;1
Vilela Silva Gomes Miranda;1
